principio_activo_buscado,farmacia,producto_nombre,marca,precio,precio_lista,categorias,url
Valsartan,cruzazul,Terovan 26/24mg quifatex dist medicamenta terovan – inhibidor de neprilisina + ara ii,Terovan,54.0,54.0,/Medicinas/Aparato Cardiovascular/|/Medicinas/,https://www.farmaciascruzazul.ec/terovan-26-24mg-quifatex-dist-medicamenta-terovan-inhibidor-/p
Valsartan,cruzazul,Terovan 51/49mg quifatex dist medicamenta terovan – inhibidor de neprilisina + ara ii,Terovan,108.0,108.0,/Medicinas/Aparato Cardiovascular/|/Medicinas/,https://www.farmaciascruzazul.ec/terovan-51-49mg-quifatex-dist-medicamenta-terovan-inhibidor-/p
Valsartan,cruzazul,Terovan 200 Comprimidos REC 97/103MGx 60,Terovan,108.0,108.0,/Medicinas/Aparato Cardiovascular/|/Medicinas/,https://www.farmaciascruzazul.ec/terovan-103-97mg-quifatex-dist-medicamenta-terovan-inhibidor/p
Valsartan/Hidroclorotiazida,pharmacys,Valaxam 160/5/12.5mg ecuaquimica - saval comprimido recubierto,Valaxam,30.0,30.0,/Medicinas/Aparato Cardiovascular/|/Medicinas/,https://www.pharmacys.com.ec/valaxam-160-5-125mg-ecuaquimica-saval-comprimido-recubierto/p
Valsartan/Hidroclorotiazida,medicity,Valaxam-D Comprimidos Recubiertos 160mg+12.5mg+5mg Caja 30 Unidades,VALAXAM-D,0.92,1.0,/Medicina/Sistema Cardiovascular/|/Medicina/,https://www.farmaciasmedicity.com/valaxam-d-comprimidos-recubiertos-160mg-12-5mg-5mg-caja-30-unidades-1/p
Valsartan/Hidroclorotiazida,medicity,Diapresan D Comprimidos Recubiertos 80/12.5 mg Caja Con 30 Unidades,DIAPRESAN,0.97,1.05,/Medicina/Sistema Cardiovascular/|/Medicina/,https://www.farmaciasmedicity.com/diapresan-d-comprimidos-recubiertos-80125-mg-caja-con-30-unidades/p
Valsartan/Hidroclorotiazida,medicity,Exforge Hct Comprimidos Recubiertos Caja Con 28 Unidades,EXFORGE,1.26,1.52,/Medicina/Sistema Cardiovascular/|/Medicina/,https://www.farmaciasmedicity.com/exforge-hct-comprimidos-recubiertos-caja-con-28-unidades/p
Valsartan/Hidroclorotiazida,medicity,Diovan Hct Comprimidos Recubiertos Caja 28 Unidades,DIOVAN,1.03,1.18,/Medicina/Sistema Cardiovascular/|/Medicina/,https://www.farmaciasmedicity.com/diovan-hct-comprimidos-recubiertos-caja-con-28-unidades/p
Valsartan/Hidroclorotiazida,cruzazul,Valaxam 160/5/12.5mg ecuaquimica - saval comprimido recubierto,Valaxam,30.0,30.0,/Medicinas/Aparato Cardiovascular/|/Medicinas/,https://www.farmaciascruzazul.ec/valaxam-160-5-125mg-ecuaquimica-saval-comprimido-recubierto/p
Telmisartan,medicity,Micardis Plus Comprimidos 80/12.5 mg Caja 28 Unidades,MICARDIS,1.16,1.16,/Medicina/Sistema Cardiovascular/|/Medicina/,https://www.farmaciasmedicity.com/micardis-plus-comprimidos-80-12-5-mg-caja-28-unidades-1/p
Telmisartan,medicity,Micardis Amlo Comprimidos 80/10mg Caja 28 Unidades,MICARDIS,1.43,1.43,/Medicina/Sistema Cardiovascular/|/Medicina/,https://www.farmaciasmedicity.com/micardis-amlo-comprimidos-80-10mg-caja-28-unidades-1/p
Telmisartan,medicity,Micardis Amlo Comprimidos 80/5 mg Caja Con 28 Unidades,MICARDIS,1.35,1.5,/Medicina/Sistema Cardiovascular/|/Medicina/,https://www.farmaciasmedicity.com/micardis-amlo-comprimidos-805-mg-caja-con-28-unidades/p
Telmisartan,medicity,Indivan Hct Tabletas 80/12.5mg Caja con 30 Unidades,INDIVAN,0.87,1.16,/Medicina/Sistema Cardiovascular/|/Medicina/,https://www.farmaciasmedicity.com/indivan-hct-tabletas-80-12-5mg-caja-con-30-unidades-1/p
Telmisartan,medicity,Micardis Plus Comprimidos 80/25 mg Caja Con 28 Unidades,MICARDIS,1.38,1.53,/Medicina/Sistema Cardiovascular/|/Medicina/,https://www.farmaciasmedicity.com/micardis-plus-comprimidos-8025-mg-caja-con-28-unidades/p
Telmisartan/Hidroclorotiazida,medicity,Micardis Plus Comprimidos 80/12.5 mg Caja 28 Unidades,MICARDIS,1.04,1.16,/Medicina/Sistema Cardiovascular/|/Medicina/,https://www.farmaciasmedicity.com/micardis-plus-comprimidos-80-12-5-mg-caja-28-unidades-1/p
Telmisartan/Hidroclorotiazida,medicity,Indivan Hct Tabletas 80/12.5mg Caja con 30 Unidades,INDIVAN,1.07,1.16,/Medicina/Sistema Cardiovascular/|/Medicina/,https://www.farmaciasmedicity.com/indivan-hct-tabletas-80-12-5mg-caja-con-30-unidades-1/p
